import time: self [us] | cumulative | imported package
import time:      8670 |     102139 |       logging
import time:       128 |        128 |         _typing
import time:      6517 |       6645 |       typing
import time:      1904 |     111924 |     streamlit.logger
import time:       172 |        172 |             _json
import time:      1394 |       1565 |           json.scanner
import time:      2079 |       3644 |         json.decoder
import time:      1922 |       1922 |         json.encoder
import time:      1358 |       6923 |       json
import time:       198 |        198 |             _struct
import time:       982 |       1179 |           struct
import time:       157 |        157 |           binascii
import time:      1257 |       2593 |         base64
import time:     16163 |      16163 |           _hashlib
import time:       215 |        215 |           _hmac
import time:      1301 |      17678 |         hmac
import time:       309 |        309 |           math
import time:       117 |        117 |             _bisect
import time:      1099 |       1215 |           bisect
import time:        84 |         84 |           _random
import time:      1717 |       3323 |         random
import time:      1083 |      24675 |       secrets
import time:      1024 |       1024 |           blinker._utilities
import time:      1900 |       2924 |         blinker.base
import time:      1372 |       4296 |       blinker
import time:      1086 |       1086 |           urllib
import time:       648 |        648 |                     posix
import time:       572 |        572 |                     posix
import time:       858 |       2078 |                   posixpath
import time:      1645 |       3722 |                 fnmatch
import time:       254 |        254 |                 zlib
import time:      1260 |       1260 |                     compression
import time:      1412 |       2671 |                   compression._common
import time:      2329 |       2329 |                   compression._common._streams
import time:      2641 |       2641 |                   _bz2
import time:      1969 |       9609 |                 bz2
import time:      2856 |       2856 |                   _lzma
import time:      2111 |       4966 |                 lzma
import time:      2801 |       2801 |                   _zstd
import time:      2146 |       2146 |                   compression.zstd._zstdfile
import time:      3464 |       8410 |                 compression.zstd
import time:      3026 |      29985 |               shutil
import time:      2383 |      32368 |             tempfile
import time:      1397 |      33765 |           urllib.response
import time:      1728 |      36577 |         urllib.error
import time:      1613 |       1613 |           email
import time:       222 |        222 |             _blake2
import time:      1831 |       2052 |           hashlib
import time:      2675 |       2675 |             http
import time:      2113 |       2113 |                 email.errors
import time:      1861 |       1861 |                     email.quoprimime
import time:      1515 |       1515 |                     email.base64mime
import time:      1158 |       1158 |                         quopri
import time:      1364 |       2521 |                       email.encoders
import time:      1732 |       4253 |                     email.charset
import time:      2687 |      10313 |                   email.header
import time:       221 |        221 |                       _datetime
import time:      1264 |       1484 |                     datetime
import time:     18685 |      18685 |                       ipaddress
import time:      4554 |      23238 |                     urllib.parse
import time:      2292 |       2292 |                     email._parseaddr
import time:      2770 |      29782 |                   email.utils
import time:      2399 |      42493 |                 email._policybase
import time:      2768 |      47373 |               email.feedparser
import time:      1664 |      49037 |             email.parser
import time:      2730 |       2730 |               email._encoded_words
import time:      1206 |       1206 |               email.iterators
import time:      4157 |       8091 |             email.message
import time:      6882 |       6882 |               _socket
import time:      4179 |      11060 |             socket
import time:      5239 |       5239 |               _ssl
import time:      7271 |      12510 |             ssl
import time:      4527 |      87898 |           http.client
import time:      4673 |      96235 |         urllib.request
import time:      6260 |       6260 |               _wmi
import time:      2415 |       8674 |             platform
import time:    357908 |     366582 |           streamlit.env_util
import time:       908 |        908 |                 streamlit.proto
import time:      1277 |       1277 |                   google
import time:      1511 |       2788 |                 google.protobuf
import time:      1477 |       1477 |                   google.protobuf.internal
import time:       515 |        515 |                     google.protobuf.internal._api_implementation
import time:      1885 |       1885 |                     google.protobuf.message
import time:      1734 |       1734 |                     google.protobuf.internal.enum_type_wrapper
import time:       315 |        315 |                     google.protobuf.enable_deterministic_proto_serialization
import time:      7487 |      11933 |                   google.protobuf.internal.api_implementation
import time:      4217 |      17626 |                 google.protobuf.descriptor
import time:      2142 |       2142 |                   google.protobuf.descriptor_database
import time:      2293 |       2293 |                   google.protobuf.text_encoding
import time:       876 |        876 |                   google.protobuf.internal.python_edition_defaults
import time:      2100 |       2100 |                       encodings.raw_unicode_escape
import time:      2590 |       2590 |                       encodings.unicode_escape
import time:      2769 |       2769 |                         numbers
import time:      2166 |       2166 |                             _compat_pickle
import time:       419 |        419 |                             _pickle
import time:      3426 |       6010 |                           pickle
import time:      4284 |      10294 |                         google.protobuf.internal.containers
import time:      1824 |       1824 |                           google.protobuf.internal.wire_format
import time:      2933 |       4756 |                         google.protobuf.internal.encoder
import time:      4074 |      21892 |                       google.protobuf.internal.decoder
import time:      2213 |       2213 |                       google.protobuf.internal.type_checkers
import time:      1238 |       1238 |                       google.protobuf.unknown_fields
import time:      6441 |      36471 |                     google.protobuf.text_format
import time:      1787 |       1787 |                     google.protobuf.internal.extension_dict
import time:      1149 |       1149 |                     google.protobuf.internal.message_listener
import time:       175 |        175 |                           _locale
import time:      2711 |       2886 |                         locale
import time:      3703 |       6588 |                       calendar
import time:      1253 |       1253 |                       google.protobuf.internal.field_mask
import time:      2473 |      10312 |                     google.protobuf.internal.well_known_types
import time:      2801 |      52520 |                   google.protobuf.internal.python_message
import time:      3682 |      61511 |                 google.protobuf.descriptor_pool
import time:       674 |        674 |                     google.protobuf.pyext
import time:      1762 |       1762 |                     google.protobuf.pyext.cpp_message
import time:      1507 |       3942 |                   google.protobuf.message_factory
import time:      1332 |       5273 |                 google.protobuf.symbol_database
import time:      1133 |       1133 |                   google.protobuf.reflection
import time:      1420 |       2552 |                 google.protobuf.internal.builder
import time:      2663 |      93317 |               streamlit.proto.RootContainer_pb2
import time:      1197 |      94514 |             streamlit.util
import time:      5843 |     100357 |           streamlit.errors
import time:      1145 |     468082 |         streamlit.cli_util
import time:      1836 |       1836 |         streamlit.url_util
import time:      4150 |       4150 |               _decimal
import time:      1087 |       5236 |             decimal
import time:      7367 |       7367 |             fractions
import time:      2618 |      15221 |           streamlit.string_util
import time:      1256 |      16476 |         streamlit.config_option
import time:      1324 |       1324 |             streamlit.elements
import time:      2266 |       3589 |           streamlit.elements.lib
import time:      2257 |       5846 |         streamlit.elements.lib.color_util
import time:      2452 |     627502 |       streamlit.config_util
import time:      1231 |       1231 |       streamlit.development
import time:      2792 |       2792 |           glob
import time:       793 |        793 |           pwd
import time:       717 |        717 |           grp
import time:       795 |        795 |             fcntl
import time:       573 |        573 |             posix
import time:      3609 |       4976 |           pathlib._os
import time:      3851 |      13127 |         pathlib
import time:      1819 |      14945 |       streamlit.file_util
import time:      7569 |     687138 |     streamlit.config
import time:       861 |        861 |             importlib._abc
import time:       679 |       1540 |           importlib.util
import time:      1254 |       1254 |             zipfile._path.glob
import time:      2500 |       3754 |           zipfile._path
import time:      2889 |       8181 |         zipfile
import time:      2100 |       2100 |         importlib.metadata._meta
import time:      1954 |       1954 |         importlib.metadata._collections
import time:       958 |        958 |         importlib.metadata._functools
import time:       709 |        709 |         importlib.metadata._itertools
import time:      1575 |       1575 |         importlib.abc
import time:      4115 |      19590 |       importlib.metadata
import time:      3500 |       3500 |         importlib.metadata._text
import time:      3531 |       7031 |       importlib.metadata._adapters
import time:     11078 |      37699 |     streamlit.version
import time:      2194 |       2194 |       contextvars
import time:      4190 |       6383 |     streamlit.delta_generator_singletons
import time:      1383 |       1383 |             streamlit.proto.WidthConfig_pb2
import time:      1458 |       2840 |           streamlit.proto.Alert_pb2
import time:      1457 |       1457 |           streamlit.proto.Audio_pb2
import time:      1420 |       1420 |             streamlit.proto.LabelVisibility_pb2
import time:      1831 |       3251 |           streamlit.proto.AudioInput_pb2
import time:      1637 |       1637 |           streamlit.proto.Balloons_pb2
import time:      2082 |       2082 |             streamlit.proto.ArrowData_pb2
import time:      2060 |       4141 |           streamlit.proto.BidiComponent_pb2
import time:       982 |        982 |             streamlit.proto.ButtonLikeIconPosition_pb2
import time:      1358 |       2340 |           streamlit.proto.Button_pb2
import time:      1016 |       1016 |           streamlit.proto.ButtonGroup_pb2
import time:       988 |        988 |           streamlit.proto.CameraInput_pb2
import time:       992 |        992 |           streamlit.proto.ChatInput_pb2
import time:      1014 |       1014 |           streamlit.proto.Checkbox_pb2
import time:       915 |        915 |           streamlit.proto.Code_pb2
import time:       955 |        955 |           streamlit.proto.ColorPicker_pb2
import time:      1363 |       1363 |           streamlit.proto.Components_pb2
import time:      1460 |       1460 |           streamlit.proto.Dataframe_pb2
import time:      1404 |       1404 |           streamlit.proto.DateInput_pb2
import time:      1478 |       1478 |           streamlit.proto.DateTimeInput_pb2
import time:      1313 |       1313 |           streamlit.proto.DeckGlJsonChart_pb2
import time:      1263 |       1263 |           streamlit.proto.DownloadButton_pb2
import time:      1017 |       1017 |           streamlit.proto.Empty_pb2
import time:      1028 |       1028 |           streamlit.proto.Exception_pb2
import time:      1027 |       1027 |           streamlit.proto.Favicon_pb2
import time:       995 |        995 |           streamlit.proto.Feedback_pb2
import time:       955 |        955 |           streamlit.proto.FileUploader_pb2
import time:       946 |        946 |           streamlit.proto.GraphVizChart_pb2
import time:       947 |        947 |           streamlit.proto.Heading_pb2
import time:       953 |        953 |           streamlit.proto.HeightConfig_pb2
import time:      1402 |       1402 |           streamlit.proto.Help_pb2
import time:      1047 |       1047 |           streamlit.proto.Html_pb2
import time:      1265 |       1265 |           streamlit.proto.IFrame_pb2
import time:      1313 |       1313 |           streamlit.proto.Image_pb2
import time:      1077 |       1077 |           streamlit.proto.Json_pb2
import time:      1024 |       1024 |           streamlit.proto.LinkButton_pb2
import time:      1035 |       1035 |           streamlit.proto.Markdown_pb2
import time:       822 |        822 |           streamlit.proto.MenuButton_pb2
import time:      1088 |       1088 |           streamlit.proto.Metric_pb2
import time:       928 |        928 |             streamlit.proto.SelectWidgetFilterMode_pb2
import time:       997 |       1924 |           streamlit.proto.MultiSelect_pb2
import time:      1024 |       1024 |           streamlit.proto.NumberInput_pb2
import time:       908 |        908 |           streamlit.proto.PageLink_pb2
import time:       976 |        976 |           streamlit.proto.Pagination_pb2
import time:       933 |        933 |           streamlit.proto.PlotlyChart_pb2
import time:       874 |        874 |           streamlit.proto.Progress_pb2
import time:       872 |        872 |           streamlit.proto.Radio_pb2
import time:      1179 |       1179 |           streamlit.proto.Selectbox_pb2
import time:      1269 |       1269 |           streamlit.proto.Skeleton_pb2
import time:      1253 |       1253 |           streamlit.proto.Slider_pb2
import time:       912 |        912 |           streamlit.proto.Snow_pb2
import time:       804 |        804 |           streamlit.proto.Space_pb2
import time:       686 |        686 |           streamlit.proto.Spinner_pb2
import time:       750 |        750 |           streamlit.proto.Table_pb2
import time:       842 |        842 |           streamlit.proto.Text_pb2
import time:       895 |        895 |           streamlit.proto.TextAlignmentConfig_pb2
import time:       926 |        926 |           streamlit.proto.TextArea_pb2
import time:       961 |        961 |           streamlit.proto.TextInput_pb2
import time:       907 |        907 |           streamlit.proto.TimeInput_pb2
import time:       960 |        960 |           streamlit.proto.Toast_pb2
import time:       819 |        819 |             streamlit.proto.ArrowNamedDataSet_pb2
import time:       911 |       1729 |           streamlit.proto.VegaLiteChart_pb2
import time:       985 |        985 |           streamlit.proto.Video_pb2
import time:      6720 |      77034 |         streamlit.proto.Element_pb2
import time:      1013 |       1013 |                       concurrent
import time:      2099 |       2099 |                       concurrent.futures._base
import time:       424 |        424 |                       _interpreters
import time:      1364 |       4898 |                     concurrent.futures
import time:       174 |        174 |                       _heapq
import time:      1629 |       1803 |                     heapq
import time:      2242 |       2242 |                       signal
import time:      1052 |       1052 |                       fcntl
import time:       238 |        238 |                       msvcrt
import time:      2946 |       6477 |                     subprocess
import time:      2411 |       2411 |                     asyncio.constants
import time:      1076 |       1076 |                     asyncio.coroutines
import time:      1246 |       1246 |                       asyncio.format_helpers
import time:      1044 |       1044 |                         asyncio.base_futures
import time:      1353 |       1353 |                         asyncio.exceptions
import time:      1142 |       1142 |                         asyncio.base_tasks
import time:      2542 |       6079 |                       _asyncio
import time:      1821 |       9145 |                     asyncio.events
import time:      2295 |       2295 |                     asyncio.futures
import time:      2097 |       2097 |                     asyncio.protocols
import time:      1781 |       1781 |                       asyncio.transports
import time:       923 |        923 |                       asyncio.log
import time:      2405 |       5108 |                     asyncio.sslproto
import time:       899 |        899 |                         asyncio.mixins
import time:      1845 |       2743 |                       asyncio.locks
import time:      1485 |       1485 |                         asyncio.queues
import time:      2986 |       2986 |                         asyncio.timeouts
import time:      2481 |       6950 |                       asyncio.tasks
import time:      1325 |      11018 |                     asyncio.staggered
import time:      2444 |       2444 |                     asyncio.trsock
import time:      4114 |      52882 |                   asyncio.base_events
import time:      5516 |       5516 |                   asyncio.graph
import time:      1547 |       1547 |                   asyncio.runners
import time:      1683 |       1683 |                   asyncio.streams
import time:      2087 |       2087 |                   asyncio.subprocess
import time:      1846 |       1846 |                   asyncio.taskgroups
import time:      1102 |       1102 |                   asyncio.threads
import time:     13418 |      13418 |                     _overlapped
import time:      1263 |       1263 |                     asyncio.base_subprocess
import time:      1867 |       1867 |                     asyncio.proactor_events
import time:      1857 |       1857 |                         select
import time:      1937 |       3794 |                       selectors
import time:      2083 |       5877 |                     asyncio.selector_events
import time:      1168 |       1168 |                     asyncio.windows_utils
import time:      2728 |      26318 |                   asyncio.windows_events
import time:      1580 |      94557 |                 asyncio
import time:       886 |        886 |                     streamlit.components
import time:      1071 |       1956 |                   streamlit.components.lib
import time:       850 |        850 |                     streamlit.components.types
import time:      1472 |       2322 |                   streamlit.components.types.base_component_registry
import time:      1683 |       5960 |                 streamlit.components.lib.local_component_registry
import time:      1022 |       1022 |                     streamlit.deprecation_util
import time:       785 |        785 |                         streamlit.path_security
import time:      1107 |       1892 |                       streamlit.components.v2.component_path_utils
import time:      3932 |       3932 |                       streamlit.components.v2.component_registry
import time:      1185 |       7008 |                     streamlit.components.v2.component_definition_resolver
import time:       999 |        999 |                     streamlit.components.v2.get_bidi_component_manager
import time:      1220 |      10248 |                   streamlit.components.v2
import time:      6310 |       6310 |                   streamlit.components.v2.component_file_watcher
import time:      2034 |       2034 |                   streamlit.components.v2.component_manifest_handler
import time:      3622 |      22212 |                 streamlit.components.v2.component_manager
import time:      1649 |       1649 |                   streamlit.proto.AuthRedirect_pb2
import time:      1601 |       1601 |                   streamlit.proto.AutoRerun_pb2
import time:      3398 |       3398 |                   streamlit.proto.Common_pb2
import time:      1684 |       1684 |                       streamlit.proto.GapSize_pb2
import time:      3179 |       4863 |                     streamlit.proto.Block_pb2
import time:      1742 |       1742 |                     streamlit.proto.Transient_pb2
import time:      2544 |       9148 |                   streamlit.proto.Delta_pb2
import time:      1576 |       1576 |                   streamlit.proto.GitInfo_pb2
import time:      1149 |       1149 |                   streamlit.proto.Logo_pb2
import time:       997 |        997 |                     streamlit.proto.AppPage_pb2
import time:      1072 |       2068 |                   streamlit.proto.Navigation_pb2
import time:      1383 |       1383 |                     streamlit.proto.SessionStatus_pb2
import time:      2267 |       3650 |                   streamlit.proto.NewSession_pb2
import time:      1278 |       1278 |                   streamlit.proto.PageConfig_pb2
import time:       988 |        988 |                   streamlit.proto.PageInfo_pb2
import time:      1218 |       1218 |                   streamlit.proto.PageNotFound_pb2
import time:      1504 |       1504 |                   streamlit.proto.PageProfile_pb2
import time:      1457 |       1457 |                   streamlit.proto.ParentMessage_pb2
import time:      1340 |       1340 |                   streamlit.proto.SessionEvent_pb2
import time:      3853 |      35871 |                 streamlit.proto.ForwardMsg_pb2
import time:      2323 |       2323 |                     _uuid
import time:      2056 |       4378 |                   uuid
import time:      2944 |       2944 |                   google.protobuf.json_format
import time:      2251 |       2251 |                     streamlit.elements.lib.layout_utils
import time:      2528 |       2528 |                       streamlit.type_util
import time:      1082 |       1082 |                         streamlit.runtime.scriptrunner_utils
import time:      1475 |       1475 |                           streamlit.proto.WidgetStates_pb2
import time:      6489 |       7964 |                         streamlit.runtime.scriptrunner_utils.script_requests
import time:      1596 |      10641 |                       streamlit.runtime.scriptrunner_utils.exceptions
import time:      3851 |       3851 |                         typing_extensions
import time:      1365 |       1365 |                         streamlit.runtime.forward_msg_cache
import time:      2547 |       2547 |                               _queue
import time:      1190 |       3737 |                             queue
import time:      1158 |       4894 |                           concurrent.futures.thread
import time:      1055 |       1055 |                           streamlit.runtime.scriptrunner_utils.script_run_context_attr
import time:      1644 |       7592 |                         streamlit.runtime.parallel_coordinator
import time:      1139 |       1139 |                           streamlit.runtime.scriptrunner_utils.thread_safe_set
import time:       988 |       2126 |                         streamlit.runtime.scriptrunner_utils.shared_run_state
import time:      6612 |      21544 |                       streamlit.runtime.scriptrunner_utils.script_run_context
import time:      2065 |      36777 |                     streamlit.runtime.metrics_util
import time:      1771 |      40799 |                   streamlit.elements.exception
import time:      1188 |       1188 |                   streamlit.proto.ClientState_pb2
import time:      1518 |       1518 |                         streamlit.runtime.caching.cache_type
import time:      2555 |       4072 |                       streamlit.runtime.caching.cache_errors
import time:      3902 |       3902 |                         streamlit.dataframe_util
import time:      8379 |       8379 |                         streamlit.runtime.caching.cached_message_replay
import time:      3748 |       3748 |                             streamlit.runtime.stats
import time:      3916 |       7664 |                           streamlit.runtime.uploaded_file_manager
import time:      2850 |      10513 |                         streamlit.runtime.caching.hashing
import time:      2263 |      25055 |                       streamlit.runtime.caching.cache_utils
import time:      3960 |       3960 |                         streamlit.runtime.caching.storage.cache_storage_protocol
import time:      1219 |       5179 |                       streamlit.runtime.caching.storage
import time:      1172 |       1172 |                             cachetools.keys
import time:      2767 |       3938 |                           cachetools
import time:      2018 |       5956 |                         streamlit.runtime.caching.storage.in_memory_cache_storage_wrapper
import time:      1510 |       7465 |                       streamlit.runtime.caching.storage.dummy_cache_storage
import time:      1008 |       1008 |                       streamlit.time_util
import time:      3019 |      45796 |                     streamlit.runtime.caching.cache_data_api
import time:      1218 |       1218 |                       streamlit.runtime.caching.ttl_cleanup_cache
import time:      2318 |       3535 |                     streamlit.runtime.caching.cache_resource_api
import time:      1102 |       1102 |                     streamlit.runtime.caching.legacy_cache_api
import time:      1652 |      52084 |                   streamlit.runtime.caching
import time:      1509 |       1509 |                   streamlit.runtime.backend_operation_handler
import time:      1469 |       1469 |                   streamlit.runtime.forward_msg_queue
import time:      1152 |       1152 |                     streamlit.error_util
import time:      2882 |       4033 |                   streamlit.runtime.fragment
import time:      1338 |       1338 |                   streamlit.runtime.pages_manager
import time:       137 |        137 |                       gc
import time:      1272 |       1272 |                       timeit
import time:      1077 |       1077 |                       streamlit.runtime.scriptrunner.exec_code
import time:      6784 |       6784 |                         streamlit.runtime.state.common
import time:      1115 |       1115 |                               streamlit.elements.lib.form_utils
import time:      1164 |       2279 |                             streamlit.elements.lib.utils
import time:      1167 |       1167 |                             streamlit.runtime.state.safe_session_state
import time:      1051 |       1051 |                               streamlit.runtime.state.presentation
import time:      4721 |       4721 |                               streamlit.runtime.state.query_params
import time:     10371 |      16142 |                             streamlit.runtime.state.session_state
import time:      1920 |      21506 |                           streamlit.runtime.state.session_state_proxy
import time:      1882 |      23387 |                         streamlit.runtime.state.query_params_proxy
import time:      1468 |       1468 |                         streamlit.runtime.state.widgets
import time:      1042 |      32680 |                       streamlit.runtime.state
import time:      2224 |       2224 |                       streamlit.source_util
import time:      3123 |      40510 |                     streamlit.runtime.scriptrunner.script_runner
import time:      1239 |      41749 |                   streamlit.runtime.scriptrunner
import time:      1718 |       1718 |                           streamlit.watcher.folder_black_list
import time:      2037 |       2037 |                           streamlit.watcher.path_watcher
import time:      3832 |       7586 |                         streamlit.watcher.local_sources_watcher
import time:      1552 |       9138 |                       streamlit.watcher
import time:       256 |       9393 |                     streamlit.watcher.path_watcher
import time:      2493 |      11886 |                   streamlit.runtime.secrets
import time:      1055 |       1055 |                   streamlit.runtime.theme_util
import time:      3246 |     167671 |                 streamlit.runtime.app_session
import time:      1600 |       1600 |                 streamlit.runtime.caching.storage.local_disk_cache_storage
import time:      1051 |       1051 |                   streamlit.runtime.download_data_util
import time:      2580 |       2580 |                   streamlit.runtime.media_file_storage
import time:      2505 |       6135 |                 streamlit.runtime.media_file_manager
import time:      3621 |       3621 |                   streamlit.runtime.session_manager
import time:      1330 |       4951 |                 streamlit.runtime.memory_session_storage
import time:      1676 |       1676 |                 streamlit.runtime.runtime_util
import time:      2987 |       2987 |                 streamlit.runtime.script_data
import time:      2741 |       2741 |                   streamlit.runtime.scriptrunner.magic
import time:      1763 |       4504 |                 streamlit.runtime.scriptrunner.script_cache
import time:      3624 |       3624 |                 streamlit.runtime.websocket_session_manager
import time:      9134 |     360876 |               streamlit.runtime.runtime
import time:      1440 |     362316 |             streamlit.runtime
import time:        81 |     362396 |           streamlit.runtime.scriptrunner_utils
import time:        55 |     362451 |         streamlit.runtime.scriptrunner_utils.script_run_context
import time:      3064 |     442548 |       streamlit.cursor
import time:      1356 |       1356 |           streamlit.components.v2.bidi_component.constants
import time:      3132 |       3132 |           streamlit.components.v2.bidi_component.serialization
import time:      1804 |       1804 |           streamlit.components.v2.bidi_component.state
import time:      1952 |       1952 |           streamlit.components.v2.presentation
import time:      1355 |       1355 |           streamlit.elements.lib.policies
import time:      3199 |      12795 |         streamlit.components.v2.bidi_component.main
import time:      1614 |      14408 |       streamlit.components.v2.bidi_component
import time:      1716 |       1716 |       streamlit.elements.alert
import time:     10023 |      10023 |           streamlit.elements.lib.column_types
import time:       926 |        926 |           streamlit.elements.lib.dicttools
import time:      3066 |      14014 |         streamlit.elements.lib.column_config_utils
import time:      1159 |       1159 |         streamlit.elements.lib.pandas_styler_utils
import time:      3351 |      18523 |       streamlit.elements.arrow
import time:      1445 |       1445 |       streamlit.elements.balloons
import time:      1283 |       1283 |       streamlit.elements.code
import time:      3532 |       3532 |       streamlit.elements.deck_gl_json_chart
import time:      1060 |       1060 |       streamlit.elements.empty
import time:       736 |        736 |           streamlit.elements.widgets
import time:       979 |        979 |           streamlit.elements.lib.shortcut_utils
import time:       907 |        907 |             streamlit.navigation
import time:      1661 |       2568 |           streamlit.navigation.page
import time:      3151 |       7434 |         streamlit.elements.widgets.button
import time:      1092 |       8525 |       streamlit.elements.form
import time:      1364 |       1364 |       streamlit.elements.graphviz_chart
import time:      1698 |       1698 |       streamlit.elements.heading
import time:      1786 |       1786 |       streamlit.elements.help
import time:      1316 |       1316 |       streamlit.elements.html
import time:      1143 |       1143 |         mimetypes
import time:      1439 |       2581 |       streamlit.elements.iframe
import time:      1687 |       1687 |         streamlit.elements.lib.image_utils
import time:      1234 |       2921 |       streamlit.elements.image
import time:      1398 |       1398 |           streamlit.auth_util
import time:      1882 |       3279 |         streamlit.user_info
import time:      1057 |       4335 |       streamlit.elements.json
import time:      3527 |       3527 |       streamlit.elements.layouts
import time:      2176 |       2176 |       streamlit.elements.map
import time:      1996 |       1996 |       streamlit.elements.markdown
import time:       890 |        890 |         streamlit.elements.lib.subtitle_utils
import time:      1686 |       2575 |       streamlit.elements.media
import time:       855 |        855 |       streamlit.elements.mermaid_chart
import time:      2988 |       2988 |       streamlit.elements.metric
import time:      1137 |       1137 |       streamlit.elements.pdf
import time:       789 |        789 |         streamlit.elements.lib.streamlit_plotly_theme
import time:       367 |        367 |           plotly
import time:        58 |        425 |         plotly.graph_objects
import time:      2900 |       4113 |       streamlit.elements.plotly_chart
import time:      1287 |       1287 |       streamlit.elements.progress
import time:      1864 |       1864 |       streamlit.elements.pyplot
import time:      1134 |       1134 |       streamlit.elements.skeleton
import time:       930 |        930 |       streamlit.elements.snow
import time:       852 |        852 |       streamlit.elements.space
import time:       880 |        880 |       streamlit.elements.spinner
import time:      1080 |       1080 |       streamlit.elements.table
import time:       925 |        925 |       streamlit.elements.text
import time:       903 |        903 |       streamlit.elements.toast
import time:      1952 |       1952 |         streamlit.elements.lib.built_in_chart_utils
import time:      3758 |       5709 |       streamlit.elements.vega_charts
import time:      1338 |       1338 |         streamlit.elements.lib.file_uploader_utils
import time:      3411 |       3411 |         streamlit.elements.widgets.file_uploader
import time:      2235 |       6983 |       streamlit.elements.widgets.audio_input
import time:      1428 |       1428 |         streamlit.elements.lib.options_selector_utils
import time:      2154 |       3581 |       streamlit.elements.widgets.button_group
import time:      2095 |       2095 |       streamlit.elements.widgets.camera_input
import time:      1750 |       1750 |         streamlit.runtime.memory_uploaded_file_manager
import time:     12895 |      14645 |       streamlit.elements.widgets.chat
import time:      2207 |       2207 |       streamlit.elements.widgets.checkbox
import time:      2125 |       2125 |       streamlit.elements.widgets.color_picker
import time:      3218 |       3218 |       streamlit.elements.widgets.data_editor
import time:      2079 |       2079 |       streamlit.elements.widgets.feedback
import time:      1775 |       1775 |       streamlit.elements.widgets.menu_button
import time:      1538 |       1538 |       streamlit.elements.widgets.multiselect
import time:       700 |        700 |         streamlit.elements.lib.js_number
import time:      2371 |       3071 |       streamlit.elements.widgets.number_input
import time:      1737 |       1737 |       streamlit.elements.widgets.pagination
import time:      1573 |       1573 |       streamlit.elements.widgets.radio
import time:      1372 |       1372 |       streamlit.elements.widgets.select_slider
import time:      1312 |       1312 |       streamlit.elements.widgets.selectbox
import time:      4713 |       4713 |       streamlit.elements.widgets.slider
import time:      2958 |       2958 |       streamlit.elements.widgets.text_widgets
import time:      7179 |       7179 |       streamlit.elements.widgets.time_widgets
import time:      1464 |       1464 |       streamlit.elements.write
import time:      2212 |       2212 |       streamlit.runtime.outside_container_wrapper
import time:      8608 |     620396 |     streamlit.delta_generator
